Term,Description
CYANOBACTERIA,"A phylum of oxygenic photosynthetic bacteria comprised of unicellular to multicellular bacteria possessing CHLOROPHYLL a and carrying out oxygenic PHOTOSYNTHESIS. Cyanobacteria are the only known organisms capable of fixing both CARBON DIOXIDE (in the presence of light) and NITROGEN. Cell morphology can include nitrogen-fixing heterocysts and/or resting cells called akinetes. Formerly called blue-green algae, cyanobacteria were traditionally treated as ALGAE.
    "
PHAEOPHYCEAE,"A class of predominantly marine EUKARYOTA, commonly known as brown algae, having CHROMATOPHORES containing carotenoid PIGMENTS, BIOLOGICAL. ALGINATES and phlorotannins occur widely in all major orders. They are considered the most highly evolved algae because of their well-developed multicellular organization and structural complexity.
    "
CHLOROPHYTA,"A phylum of photosynthetic EUKARYOTA bearing double membrane-bound plastids containing chlorophyll a and b. They comprise the classical green algae, and represent over 7000 species that live in a variety of primarily aquatic habitats. Only about ten percent are marine species, most live in freshwater.
    "
CHLOROPHYTINA,"A subdivision of green algae in the division CHLOROPHYTA, subkingdom VIRIDIPLANTAE.
    "
RHODOPHYTA,"Red algae whose color results from predominace of the red pigment (PHYCOERYTHRIN). However, if this pigment is destroyed, the algae can appear purple, brown, green, or yellow. Two important substances found in the cell walls of red algae are AGAR and CARRAGEENAN. Some rhodophyta are notable SEAWEED (macroalgae).
    "
ALGERIA,"A country in northern Africa bordering the Mediterranean Sea, between MOROCCO and TUNISIA. Its capital is Algiers.
    "
ALGINATES,"Salts and esters of ALGINIC ACID that are used as HYDROGELS; DENTAL IMPRESSION MATERIALS, and as absorbent materials for surgical dressings (BANDAGES, HYDROCOLLOID). They are also used to manufacture MICROSPHERES and NANOPARTICLES for DIAGNOSTIC REAGENT KITS and DRUG DELIVERY SYSTEMS.
    "
ALGORITHMS,"A procedure consisting of a sequence of algebraic formulas and/or logical steps to calculate or determine a given task.
    "
ALKADIENES,"Acyclic branched or unbranched hydrocarbons having two carbon-carbon double bonds.
    "
ALKALIES,"Usually a hydroxide of lithium, sodium, potassium, rubidium or cesium, but also the carbonates of these metals, ammonia, and the amines. (Grant & Hackh's Chemical Dictionary, 5th ed)
    "
ALKALOIDS,"Organic nitrogenous bases. Many alkaloids of medical importance occur in the animal and vegetable kingdoms, and some have been synthesized. (Grant & Hackh's Chemical Dictionary, 5th ed)
    "
ALKALOSIS,"A pathological condition that removes acid or adds base to the body fluids.
    "
ALKANES,"The generic name for the group of aliphatic hydrocarbons Cn-H2n+2. They are denoted by the suffix -ane. (Grant & Hackh's Chemical Dictionary, 5th ed)
    "
ALKAPTONURIA,"An inborn error of amino acid metabolism resulting from a defect in the enzyme HOMOGENTISATE 1,2-DIOXYGENASE, an enzyme involved in the breakdown of PHENYLALANINE and TYROSINE. It is characterized by accumulation of HOMOGENTISIC ACID in the urine, OCHRONOSIS in various tissues, and ARTHRITIS.
    "
ALKENES,"Unsaturated hydrocarbons of the type Cn-H2n, indicated by the suffix -ene. (Grant & Hackh's Chemical Dictionary, 5th ed, p408)
    "
ALKANESULFONATES,"Organic esters or salts of sulfonic acid derivatives containing an aliphatic hydrocarbon radical.
    "
ALKYLATION,"The covalent bonding of an alkyl group to an organic compound. It can occur by a simple addition reaction or by substitution of another functional group.
    "
ALKYNES,"Hydrocarbons with at least one triple bond in the linear portion, of the general formula Cn-H2n-2.
    "
ALLANTOIN,"A urea hydantoin that is found in URINE and PLANTS and is used in dermatological preparations.
    "
ALLANTOIS,"An extra-embryonic membranous sac derived from the YOLK SAC of REPTILES; BIRDS; and MAMMALS. It lies between two other extra-embryonic membranes, the AMNION and the CHORION. The allantois serves to store urinary wastes and mediate exchange of gas and nutrients for the developing embryo.
    "
ALLELES,"Variant forms of the same gene, occupying the same locus on homologous CHROMOSOMES, and governing the variants in production of the same gene product.
    "
ALLERGENS,"Antigen-type substances that produce immediate hypersensitivity (HYPERSENSITIVITY, IMMEDIATE).
    "
ALLETHRINS,"Synthetic analogs of the naturally occurring insecticides cinerin, jasmolin, and pyrethrin. (From Merck Index, 11th ed)
    "
ALLIUM,"A genus of the plant family Amaryllidaceae. Many produce pungent, often bacteriostatic and physiologically active compounds and are used as VEGETABLES; CONDIMENTS; and medicament, the latter in traditional medicine.
    "
ALLOPURINOL,"A XANTHINE OXIDASE inhibitor that decreases URIC ACID production. It also acts as an antimetabolite on some simpler organisms.
    "
ALLOXAN,"Acidic compound formed by oxidation of URIC ACID. It is isolated as an efflorescent crystalline hydrate.
    "
ALLOYS,"A mixture of metallic elements or compounds with other metallic or metalloid elements in varying proportions.
    "
ALLYLAMINE,"Possesses an unusual and selective cytotoxicity for VASCULAR SMOOTH MUSCLE cells in dogs and rats. Useful for experiments dealing with arterial injury, myocardial fibrosis or cardiac decompensation.
    "
ALLYLESTRENOL,"A synthetic steroid with progestational activity.
    "
ALLYLGLYCINE,"An inhibitor of glutamate decarboxylase and an antagonist of GAMMA-AMINOBUTYRIC ACID. It is used to induce convulsions in experimental animals.
    "
ALLYLISOPROPYLACETAMIDE,"An allylic compound that acts as a suicide inactivator of CYTOCHROME P450 by covalently binding to its heme moiety or surrounding protein.
    "
ALOE,"A plant genus of the family ASPHODELACEAE which is used medicinally. It contains anthraquinone glycosides such as aloin-emodin or aloe-emodin (EMODIN).
    "
ALOPECIA,"Absence of hair from areas where it is normally present.
    "
ALOUATTA,"A genus of the subfamily ALOUATTINAE, family ATELIDAE, inhabiting the forests of Central and South America. Howlers travel in groups and define their territories by howling accompanied by vigorously shaking and breaking branches.
    "
EFLORNITHINE,"An inhibitor of ORNITHINE DECARBOXYLASE, the rate limiting enzyme of the polyamine biosynthetic pathway.
    "
ALPHAPRODINE,"An opioid analgesic chemically related to and with an action resembling that of MEPERIDINE, but more rapid in onset and of shorter duration. It has been used in obstetrics, as pre-operative medication, for minor surgical procedures, and for dental procedures. (From Martindale, The Extra Pharmacopoeia, 30th ed, p1067)
    "
ALGESTONE,"A synthetic progestational dihydroxy derivative of PROGESTERONE. Its acetonide possesses anti-inflammatory properties.
    "
ALPHAVIRUS,"A genus of TOGAVIRIDAE, also known as Group A arboviruses. They are serologically related to each other and are transmitted by mosquitoes. The type species is the SINDBIS VIRUS.
    "
ALPRAZOLAM,"A triazolobenzodiazepine compound with antianxiety and sedative-hypnotic actions, that is efficacious in the treatment of PANIC DISORDERS, with or without AGORAPHOBIA, and in generalized ANXIETY DISORDERS. (From AMA Drug Evaluations Annual, 1994, p238)
    "
ALPRENOLOL,"One of the ADRENERGIC BETA-ANTAGONISTS used as an antihypertensive, anti-anginal, and anti-arrhythmic agent.
    "
ALPROSTADIL,"A potent vasodilator agent that increases peripheral blood flow.
    "
ALTERNARIA,"A mitosporic Loculoascomycetes fungal genus including several plant pathogens and at least one species which produces a highly phytotoxic antibiotic. Its teleomorph is Lewia.
    "
ALTITUDE,"A vertical distance measured from a known level on the surface of a planet or other celestial body.
    "
ALTRUISM,"Belief or practice of selfless concern for others.
    "
ALUMINUM,"A metallic element that has the atomic number 13, atomic symbol Al, and atomic weight 26.98.
    "
ALVEOLECTOMY,"Subtotal or complete excision of the alveolar process of the maxilla or mandible. (Dorland, 28th ed)
    "
ALVEOLOPLASTY,"Conservative contouring of the alveolar process, in preparation for immediate or future denture construction. (Dorland, 28th ed)
    "
AMANITA,"A genus of fungi of the family Agaricaceae, order Agaricales; most species are poisonous.
    "
AMANITINS,"Cyclic peptides extracted from carpophores of various mushroom species. They are potent inhibitors of RNA polymerases in most eukaryotic species, blocking the production of mRNA and protein synthesis. These peptides are important in the study of transcription. Alpha-amanitin is the main toxin from the species Amanitia phalloides, poisonous if ingested by humans or animals.
    "
AMANTADINE,"An antiviral that is used in the prophylactic or symptomatic treatment of influenza A. It is also used as an antiparkinsonian agent, to treat extrapyramidal reactions, and for postherpetic neuralgia. The mechanisms of its effects in movement disorders are not well understood but probably reflect an increase in synthesis and release of dopamine, with perhaps some inhibition of dopamine uptake.
    "
AMBLYOPIA,"A nonspecific term referring to impaired vision. Major subcategories include stimulus deprivation-induced amblyopia and toxic amblyopia. Stimulus deprivation-induced amblyopia is a developmental disorder of the visual cortex. A discrepancy between visual information received by the visual cortex from each eye results in abnormal cortical development. STRABISMUS and REFRACTIVE ERRORS may cause this condition. Toxic amblyopia is a disorder of the OPTIC NERVE which is associated with ALCOHOLISM, tobacco SMOKING, and other toxins and as an adverse effect of the use of some medications.
    "
AMBROXOL,"A metabolite of BROMHEXINE that stimulates mucociliary action and clears the air passages in the respiratory tract. It is usually administered as the hydrochloride.
    "
AMBULANCES,"A vehicle equipped for transporting patients in need of emergency care.
    "
AMBYSTOMA,"A genus of the Ambystomatidae family. The best known species are the axolotl AMBYSTOMA MEXICANUM and the closely related tiger salamander Ambystoma tigrinum. They may retain gills and remain aquatic without developing all of the adult characteristics. However, under proper changes in the environment they metamorphose.
    "
AMBYSTOMATIDAE,"A family of the class Urodela which includes 4 living genera, about 33 species, and occurs only in North America. Adults are usually terrestrial, but the larval forms are aquatic.
    "
AMDINOCILLIN,"An amidinopenicillanic acid derivative with broad spectrum antibacterial action.
    "
AMEBIASIS,"Infection with any of various amebae. It is an asymptomatic carrier state in most individuals, but diseases ranging from chronic, mild diarrhea to fulminant dysentery may occur.
    "
AMEBICIDES,"Agents which are destructive to amebae, especially the parasitic species causing AMEBIASIS in man and animal.
    "
AMELOBLASTOMA,"An immature epithelial tumor of the JAW originating from the epithelial rests of Malassez or from other epithelial remnants of the ENAMEL from the developmental period. It is a slowly growing tumor, usually benign, but displays a marked propensity for invasive growth.
    "
